TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-12 13:53:26,1770904406394,the-crown-i-will-take-from-you.vercel.app/read/120-the-puppeteers-strings,GET,_rsc=1sbbw,200,5p9jr-1770904406394-c2c39a18c146,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,HIT,middleware,middleware,the-crown-i-will-take-from-you.vercel.app,the-crown-i-will-take-from-7u8o1lddv.vercel.app,dpl_BwpawyiyvwAdGH3GjX9TQhzNxWFH,8,sin1,120,2048,,prj_qrokoMwAntOhRUhoe34RWPVyZ6hz,,,01KH921JC4GRTMEJQ7HJ9RSY6H,j2zEKq6Y9eLE,1
2026-02-12 13:53:26,1770904406394,the-crown-i-will-take-from-you.vercel.app/read/120-the-puppeteers-strings,GET,_rsc=1sbbw,200,5p9jr-1770904406394-c2c39a18c146,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,HIT,static,/read/120-the-puppeteers-strings,the-crown-i-will-take-from-you.vercel.app,the-crown-i-will-take-from-7u8o1lddv.vercel.app,dpl_BwpawyiyvwAdGH3GjX9TQhzNxWFH,691,sin1,,,,prj_qrokoMwAntOhRUhoe34RWPVyZ6hz,,,,,
2026-02-12 13:52:49,1770904369960,the-crown-i-will-take-from-you.vercel.app/api/auth/me,GET,,200,24cjt-1770904369960-bd15cef0d689,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/api/auth/me,the-crown-i-will-take-from-you.vercel.app,the-crown-i-will-take-from-7u8o1lddv.vercel.app,dpl_BwpawyiyvwAdGH3GjX9TQhzNxWFH,137,iad1,290,2048,,prj_qrokoMwAntOhRUhoe34RWPVyZ6hz,,,01KH920EXSYXYYWCF983CD3KZW,aRfMk8u6ocXQ,1
2026-02-12 13:52:49,1770904369960,the-crown-i-will-take-from-you.vercel.app/api/auth/me,GET,,200,24cjt-1770904369960-bd15cef0d689,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,middleware,middleware,the-crown-i-will-take-from-you.vercel.app,the-crown-i-will-take-from-7u8o1lddv.vercel.app,dpl_BwpawyiyvwAdGH3GjX9TQhzNxWFH,8,sin1,120,2048,,prj_qrokoMwAntOhRUhoe34RWPVyZ6hz,,,01KH920ESJQ4YSHXDRM2R2322S,j2zEKq6Y9eLE,1
2026-02-12 13:52:49,1770904369627,the-crown-i-will-take-from-you.vercel.app/api/auth/refresh,POST,,200,zzz49-1770904369114-bdb41af24927,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",info,production,main,MISS,function,/api/auth/refresh,the-crown-i-will-take-from-you.vercel.app,the-crown-i-will-take-from-you.vercel.app,dpl_BwpawyiyvwAdGH3GjX9TQhzNxWFH,,,,,"{""level"":30,""time"":1770904369626,""env"":""production"",""userId"":""286c3023-69f6-4646-8b92-8b4bed1a4133"",""siteId"":3,""sessionId"":""7dbe7f5b-31ad-46e7-a689-06a60ca4ef15"",""expiresAt"":""2026-02-12T14:22:49.585Z"",""msg"":""Session created successfully""}",prj_qrokoMwAntOhRUhoe34RWPVyZ6hz,,,,,
2026-02-12 13:52:49,1770904369771,the-crown-i-will-take-from-you.vercel.app/api/auth/refresh,POST,,200,zzz49-1770904369114-bdb41af24927,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",info,production,main,MISS,function,/api/auth/refresh,the-crown-i-will-take-from-you.vercel.app,the-crown-i-will-take-from-you.vercel.app,dpl_BwpawyiyvwAdGH3GjX9TQhzNxWFH,,,,,"{""level"":30,""time"":1770904369770,""env"":""production"",""userId"":""286c3023-69f6-4646-8b92-8b4bed1a4133"",""siteId"":3,""oldSessionId"":""0cf2c448-7ded-4cb7-96b9-4b4b721eb5e0"",""newSessionId"":""7dbe7f5b-31ad-46e7-a689-06a60ca4ef15"",""rotated"":true,""msg"":""Token rotation successful""}",prj_qrokoMwAntOhRUhoe34RWPVyZ6hz,,,,,
2026-02-12 13:52:49,1770904369771,the-crown-i-will-take-from-you.vercel.app/api/auth/refresh,POST,,200,zzz49-1770904369114-bdb41af24927,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",info,production,main,MISS,function,/api/auth/refresh,the-crown-i-will-take-from-you.vercel.app,the-crown-i-will-take-from-you.vercel.app,dpl_BwpawyiyvwAdGH3GjX9TQhzNxWFH,,,,,"{""level"":30,""time"":1770904369771,""env"":""production"",""userId"":""286c3023-69f6-4646-8b92-8b4bed1a4133"",""siteId"":3,""rotated"":true,""sessionId"":""7dbe7f5b-31ad-46e7-a689-06a60ca4ef15"",""msg"":""Token refresh completed""}",prj_qrokoMwAntOhRUhoe34RWPVyZ6hz,,,,,
2026-02-12 13:52:49,1770904369114,the-crown-i-will-take-from-you.vercel.app/api/auth/refresh,POST,,200,zzz49-1770904369114-bdb41af24927,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/api/auth/refresh,the-crown-i-will-take-from-you.vercel.app,the-crown-i-will-take-from-you.vercel.app,dpl_BwpawyiyvwAdGH3GjX9TQhzNxWFH,505,iad1,289,2048,,prj_qrokoMwAntOhRUhoe34RWPVyZ6hz,,,01KH920E3A4A4PG9W52YHKWSEX,aRfMk8u6ocXQ,1
2026-02-12 13:52:49,1770904369114,the-crown-i-will-take-from-you.vercel.app/api/auth/refresh,POST,,200,zzz49-1770904369114-bdb41af24927,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,middleware,middleware,the-crown-i-will-take-from-you.vercel.app,the-crown-i-will-take-from-you.vercel.app,dpl_BwpawyiyvwAdGH3GjX9TQhzNxWFH,7,sin1,120,2048,,prj_qrokoMwAntOhRUhoe34RWPVyZ6hz,,,01KH920DZ5JZFB4H087AZZYF4K,j2zEKq6Y9eLE,1
2026-02-12 13:52:48,1770904368723,the-crown-i-will-take-from-you.vercel.app/api/auth/me,GET,,401,hkznl-1770904368723-005e56965403,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/api/auth/me,the-crown-i-will-take-from-you.vercel.app,the-crown-i-will-take-from-7u8o1lddv.vercel.app,dpl_BwpawyiyvwAdGH3GjX9TQhzNxWFH,53,iad1,286,2048,,prj_qrokoMwAntOhRUhoe34RWPVyZ6hz,,,01KH920DSN6P6VP4V2HFX2ZE4Q,aRfMk8u6ocXQ,1
